coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,snow
"{'lon': -73.9662, 'lat': 42.6001}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 8.83, 'feels_like': 7.31, 'temp_min': 6.41, 'temp_max': 10.25, 'pressure': 998, 'humidity': 67}",10000.0,"{'speed': 2.68, 'deg': 280, 'gust': 4.92}",{'all': 55},1710685299,"{'type': 2, 'id': 19530, 'country': 'US', 'sunrise': 1710673415, 'sunset': 1710716675}",-14400,5106841,Albany,200,,
"{'lon': -97.8558, 'lat': 55.7435}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': -20.91, 'feels_like': -27.91, 'temp_min': -20.91, 'temp_max': -20.91, 'pressure': 1030, 'humidity': 71}",10000.0,"{'speed': 5.14, 'deg': 340, 'gust': 9.77}",{'all': 0},1710685299,"{'type': 1, 'id': 935, 'country': 'CA', 'sunrise': 1710679199, 'sunset': 1710722356}",-18000,6165406,Thompson,200,,
"{'lon': -155.9522, 'lat': 19.6228}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 18.13, 'feels_like': 18.11, 'temp_min': 17.53, 'temp_max': 20.91, 'pressure': 1016, 'humidity': 81}",10000.0,"{'speed': 0, 'deg': 0}",{'all': 20},1710685040,"{'type': 2, 'id': 2002394, 'country': 'US', 'sunrise': 1710692992, 'sunset': 1710736443}",-36000,5856050,Holualoa,200,,
"{'lon': 21.2561, 'lat': -28.4478}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 38.21, 'feels_like': 34.85, 'temp_min': 38.21, 'temp_max': 38.21, 'pressure': 1015, 'humidity': 4}",10000.0,"{'speed': 3.09, 'deg': 220}",{'all': 0},1710685300,"{'type': 1, 'id': 1990, 'country': 'ZA', 'sunrise': 1710650214, 'sunset': 1710694179}",7200,945945,Upington,200,,
"{'lon': 70.2167, 'lat': -49.35}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 8.02, 'feels_like': 2.3, 'temp_min': 8.02, 'temp_max': 8.02, 'pressure': 1001, 'humidity': 95, 'sea_level': 1001, 'grnd_level': 1000}",9784.0,"{'speed': 16.99, 'deg': 336, 'gust': 26.85}",{'all': 100},1710685300,"{'country': 'TF', 'sunrise': 1710638193, 'sunset': 1710682704}",18000,1546102,Port-aux-Français,200,{'1h': 0.1},
"{'lon': -104.7125, 'lat': 47.1053}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': -5.21, 'feels_like': -9.28, 'temp_min': -5.21, 'temp_max': -4.9, 'pressure': 1028, 'humidity': 86}",10000.0,"{'speed': 2.57, 'deg': 320}",{'all': 0},1710685300,"{'type': 1, 'id': 4198, 'country': 'US', 'sunrise': 1710680803, 'sunset': 1710724042}",-21600,5654391,Glendive,200,,
"{'lon': 25.5701, 'lat': -33.918}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 22, 'feels_like': 21.85, 'temp_min': 21.84, 'temp_max': 22.28, 'pressure': 1026, 'humidity': 61}",10000.0,"{'speed': 5.14, 'deg': 80}",{'all': 40},1710684913,"{'type': 2, 'id': 2072678, 'country': 'ZA', 'sunrise': 1710649127, 'sunset': 1710693195}",7200,964420,Port Elizabeth,200,,
"{'lon': -9.7026, 'lat': 52.2704}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 14.14, 'feels_like': 13.23, 'temp_min': 14.14, 'temp_max': 14.14, 'pressure': 1009, 'humidity': 62}",10000.0,"{'speed': 7.2, 'deg': 240}",{'all': 40},1710685300,"{'type': 1, 'id': 1552, 'country': 'IE', 'sunrise': 1710658060, 'sunset': 1710701190}",0,2961123,Tralee,200,,
"{'lon': 121.6589, 'lat': 42.0156}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 3.3, 'feels_like': -0.53, 'temp_min': 3.3, 'temp_max': 3.3, 'pressure': 1023, 'humidity': 30, 'sea_level': 1023, 'grnd_level': 997}",10000.0,"{'speed': 4.52, 'deg': 196, 'gust': 12.47}",{'all': 99},1710685300,"{'country': 'CN', 'sunrise': 1710626519, 'sunset': 1710669690}",28800,2037346,Fuxin,200,,
"{'lon': 28.65, 'lat': 44.1833}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 11.28, 'feels_like': 10.24, 'temp_min': 11.15, 'temp_max': 13.38, 'pressure': 1019, 'humidity': 68, 'sea_level': 1019, 'grnd_level': 1016}",10000.0,"{'speed': 6.66, 'deg': 155, 'gust': 7.38}",{'all': 13},1710685289,"{'type': 2, 'id': 2074879, 'country': 'RO', 'sunrise': 1710648826, 'sunset': 1710692019}",7200,680963,Constanța,200,,
